variable,pearson,spearman,pearson.wo.GERNL,spearman.wo.GERNL,pearson.wo.GERNLESP,spearman.wo.GERNLESP,type,pearson.diff.GERNL,spearman.diff.GERNL,pearson.diff.GERNLESP,spearman.diff.GERNLESP
Vote_Share_Timbro_2020,0.164228772533538,0.167667676667856,0.476405229354236,0.898645105261295,0.224272058955627,0.5,deviation media,-0.312176456820698,-0.730977428593439,-0.0600432864220884,-0.332332323332144
Vdem_Polarization of society_2019,-0.212627744888452,-0.0714285714285714,-0.742714300618573,-0.771428571428571,-0.505634294862524,-0.7,deviation media,0.530086555730121,0.7,0.293006549974072,0.628571428571429
Vdem_Online media fractionalization,-0.682997784496468,-0.904761904761905,-0.634786066011105,-0.542857142857143,-0.844062831378158,-0.9,deviation media,-0.0482117184853624,-0.361904761904762,0.161065046881691,-0.00476190476190519
Vdem_Online media perspectives,-0.115345341765743,-0.119047619047619,-0.549025778656547,-0.657142857142857,-0.198603313017704,-0.2,deviation media,0.433680436890804,0.538095238095238,0.083257971251961,0.0809523809523809
Vdem_Print/broadcast media perspectives,-0.235256263247447,0.142857142857143,-0.153141734850242,0.0285714285714286,-0.485254250794195,-0.3,deviation media,-0.0821145283972052,0.114285714285714,0.249997987546748,0.442857142857143
Political Parallelism_Brüggemann,0.151365555039012,0.0952380952380953,0.62478177434311,0.6,0.608075504261447,0.8,deviation media,-0.473416219304098,-0.504761904761905,-0.456709949222435,-0.704761904761905
Public Broadcasting_Brüggemann,-0.265863653633195,-0.347311615954845,-0.659302377000403,-0.771428571428571,-0.565138956164705,-0.8,deviation media,0.393438723367208,0.424116955473726,0.29927530253151,0.452688384045155
Trust_overall_Reuters,-0.534417010868811,-0.285714285714286,-0.930573974780349,-0.828571428571429,-0.917914119974563,-0.9,deviation media,0.396156963911538,0.542857142857143,0.383497109105752,0.614285714285714
Social Media_Reuters,-0.541742993188876,-0.538931817860967,-0.0516922677524529,-0.0857142857142857,-0.43735935981358,-0.1,deviation media,-0.490050725436423,-0.453217532146681,-0.104383633375295,-0.438931817860967
Online_Reuters,-0.835549837698169,-0.790433332862751,-0.513538190915191,-0.371428571428571,-0.863468891058476,-0.8,deviation media,-0.322011646782978,-0.41900476143418,0.0279190533603068,0.00956666713724885
Polarization Score_Reuters,-0.235930456233253,-0.178571428571429,0.411063022741981,0.7,0.0727447479619919,0.6,deviation media,-0.646993478975234,-0.878571428571428,-0.308675204195245,-0.778571428571429
Vote_Share_Timbro_2020,-0.31337720186563,-0.263477777620917,0.476405229354236,0.898645105261295,-0.683955529206592,-0.1,topic,-0.789782431219865,-1.16212288288221,0.370578327340962,-0.163477777620917
Vdem_Polarization of society_2019,0.397566505320056,0.214285714285714,-0.742714300618573,-0.771428571428571,-0.118443640453181,-0.4,topic,1.14028080593863,0.985714285714286,0.516010145773237,0.614285714285714
Vdem_Online media fractionalization,-0.41347909942673,-0.428571428571429,-0.634786066011105,-0.542857142857143,0.195034355286501,0.3,topic,0.221306966584376,0.114285714285714,-0.60851345471323,-0.728571428571429
Vdem_Online media perspectives,0.196395355386368,0.0714285714285714,-0.549025778656547,-0.657142857142857,0.155026076782686,0.1,topic,0.745421134042915,0.728571428571429,0.0413692786036819,-0.0285714285714285
Vdem_Print/broadcast media perspectives,0.143972794869008,0.142857142857143,-0.153141734850242,0.0285714285714286,-0.628959280793419,-0.6,topic,0.29711452971925,0.114285714285714,0.772932075662427,0.742857142857143
Political Parallelism_Brüggemann,-0.701710137202664,-0.476190476190476,0.62478177434311,0.6,-0.37125139757593,-0.1,topic,-1.32649191154577,-1.07619047619048,-0.330458739626734,-0.376190476190476
Public Broadcasting_Brüggemann,0.269302179950209,0.119762626191326,-0.659302377000403,-0.771428571428571,0.149093278910643,0.1,topic,0.928604556950612,0.891191197619897,0.120208901039566,0.0197626261913259
Trust_overall_Reuters,0.250394292542853,0.238095238095238,-0.930573974780349,-0.828571428571429,-0.139228511198021,-0.3,topic,1.1809682673232,1.06666666666667,0.389622803740873,0.538095238095238
Social Media_Reuters,-0.962273539717107,-0.994029797388005,-0.0516922677524529,-0.0857142857142857,-0.966566861614237,-1,topic,-0.910581271964654,-0.908315511673719,0.00429332189712994,0.00597020261199466
Online_Reuters,-0.539129287887443,-0.658694444052293,-0.513538190915191,-0.371428571428571,-0.498316865913307,-0.5,topic,-0.0255910969722517,-0.287265872623721,-0.0408124219741359,-0.158694444052293
Polarization Score_Reuters,-0.81016596179845,-0.75,0.411063022741981,0.7,-0.790777721877002,-0.4,topic,-1.22122898454043,-1.45,-0.0193882399214481,-0.35
Vote_Share_Timbro_2020,0.104239669161424,0.227548989763519,0.476405229354236,0.898645105261295,0.209690719708721,0.8,deviation topic,-0.372165560192812,-0.671096115497776,-0.105451050547297,-0.572451010236481
Vdem_Polarization of society_2019,0.18098616831148,0,-0.742714300618573,-0.771428571428571,-0.509985470302886,-0.7,deviation topic,0.923700468930053,0.771428571428571,0.690971638614366,0.7
Vdem_Online media fractionalization,-0.386573432363981,-0.571428571428572,-0.634786066011105,-0.542857142857143,-0.413360208139854,-0.6,deviation topic,0.248212633647124,-0.0285714285714287,0.026786775775873,0.0285714285714284
Vdem_Online media perspectives,-0.0892141220396138,-0.30952380952381,-0.549025778656547,-0.657142857142857,-0.317952140650072,-0.3,deviation topic,0.459811656616933,0.347619047619048,0.228738018610459,-0.00952380952380966
Vdem_Print/broadcast media perspectives,0.136214265461202,0.404761904761905,-0.153141734850242,0.0285714285714286,-0.0813475351818136,0.3,deviation topic,0.289356000311443,0.376190476190476,0.217561800643015,0.104761904761905
Political Parallelism_Brüggemann,-0.4576258730709,-0.261904761904762,0.62478177434311,0.6,0.232326919791677,0.5,deviation topic,-1.08240764741401,-0.861904761904762,-0.689952792862577,-0.761904761904762
Public Broadcasting_Brüggemann,0.124028794578324,0.059881313095663,-0.659302377000403,-0.771428571428571,-0.305790066634855,-0.5,deviation topic,0.783331171578727,0.831309884524234,0.429818861213179,0.559881313095663
Trust_overall_Reuters,-0.262430639283168,-0.238095238095238,-0.930573974780349,-0.828571428571429,-0.767163308401896,-0.6,deviation topic,0.668143335497181,0.59047619047619,0.504732669118728,0.361904761904762
Social Media_Reuters,-0.72105886291709,-0.514979292622702,-0.0516922677524529,-0.0857142857142857,-0.579525174207198,-0.1,deviation topic,-0.669366595164637,-0.429265006908416,-0.141533688709892,-0.414979292622702
Online_Reuters,-0.638781086295401,-0.586836868337497,-0.513538190915191,-0.371428571428571,-0.557597350535755,-0.3,deviation topic,-0.12524289538021,-0.215408296908926,-0.0811837357596468,-0.286836868337497
Polarization Score_Reuters,-0.345565509136638,-0.0714285714285714,0.411063022741981,0.7,0.0686271633723518,0.8,deviation topic,-0.756628531878619,-0.771428571428571,-0.41419267250899,-0.871428571428572
