"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30"
"10","comme","jeune","loi","parlement","quand","lenvironnement","was","ménages","daffaires","américain","monde","projet","défense","jaunes","lâge","écoles","élections","travailleurs","déconfinement","fautil","marche","villes","moselle","nombre","lrem","dispositions","terminal","ceta","société","gouvernement"
"11","quil","cétait","sexuelles","états","très","énergies","has","echos","léconomie","donald","football","cadre","mali","paris","pensions","lenseignement","campagne","mesures","pandémie","cest","pierre","transport","jacques","emploi","majorité","droits","numérique","production","territoires","secrétaire"
"12","tout","peu","schiappa","projet","dire","réchauffement","will","budget","chiffre","lue","france","programme","morts","personnes","ans","familles","françois","établissements","patients","français","olivier","vélo","hautsdeseine","ans","parlementaires","texte","etou","alimentaire","sociale","françois"
"13","gilets","femme","lenfant","renaissance","tout","nucléaire","covid","entreprises","lentreprise","européens","cnrs","afin","paix","préfecture","pension","enseignants","fillon","sociale","personnes","national","alain","maires","gironde","hausse","projet","commission","publicités","lalimentation","politiques","lelysée"
"14","rien","homme","couples","défense","peut","hulot","you","dhabitation","montant","accord","salle","enjeux","turquie","plainte","régimes","rentrée","candidats","services","tests","étrangers","président","territoires","nord","chiffres","gouvernement","procédure","internet","viande","ceux","demmanuel"
"15","débat","dit","conjugales","liberté","fait","lénergie","our","revenu","dette","leurope","match","territoires","sahel","manifestants","syndicats","établissements","marine","domicile","mesures","réfugiés","philippe","projet","laurence","demploi","proposition","judiciaire","savoir","lenvironnement","inégalités","quil"
"16","jaunes","rien","parents","devons","gens","serre","can","fiscalité","crise","commission","prix","notamment","région","mort","delevoye","personnes","présidentielle","salarié","masque","services","pcf","sncf","sénateur","linsee","vote","contrôle","accéder","prix","crise","letat"
"17","français","jamais","marlène","continent","lon","planète","their","pouvoir","secteur","chine","club","rapport","islamique","soir","cgt","blanquer","liste","dispositif","soignants","migratoire","conseillère","corse","yvelines","points","amendements","ainsi","facebook","producteurs","valeurs","selon"
"18","pays","père","enfant","élections","parce","renouvelables","have","prime","budget","président","rue","matière","mer","matin","projet","létranger","républicains","lentreprise","cas","séjour","dominique","élus","philippe","rapport","parlement","dune","partenaires","consommateurs","social","detat"
"19","peut","quon","bioéthique","politique","dit","changement","all","limpôt","économique","laccord","samedi","citoyens","mort","deux","points","formation","maire","dactivité","lhôpital","france","valérie","territoire","finistère","depuis","élus","décret","choix","santé","vie","déclaré"
"20","non","famille","elles","citoyens","choses","lécologie","its","revenus","letat","français","directeur","nationale","victimes","parquet","droits","scolaires","municipales","lhôpital","malades","démocratie","lfi","zones","hautegaronne","mois","lhémicycle","cas","navigation","déchets","chacun","benalla"
"21","ceux","vie","droit","lue","pense","objectifs","travellers","suppression","banque","étatsunis","chercheur","jai","combat","prison","cotisations","situation","emmanuel","maladie","sanitaires","jai","christophe","mobilité","circonscription","moyenne","amendement","décision","réseaux","alimentaires","monde","conseil"
"22","faire","monde","harcèlement","peuples","veut","développement","not","csg","dividendes","allemagne","lassociation","mise","lopération","manifestation","retraités","lycée","tête","lactivité","mai","chers","signataires","millions","sandrine","lemploi","sénat","constitutionnel","stocker","produit","faire","edouard"
"23","mouvement","très","viol","loiseau","donc","électrique","they","évolue","banques","brexit","sports","création","terroristes","gendarmerie","cfdt","classes","lrem","personnel","mars","nationalité","secrétaire","collectivités","valérie","population","séance","constitution","géolocalisation","consommation","concitoyens","ministres"
"24","monde","toujours","sexistes","valeurs","comment","production","european","finances","sociétés","macron","cinéma","territoire","terrorisme","homme","cotisation","classe","lélection","personnels","hôpitaux","publics","bernard","réseau","loireatlantique","travail","débat","articles","moment","bio","vivre","mercredi"
"25","dire","mort","sexuelle","progrès","oui","consommation","must","décrypter","financement","bruxelles","lyon","compétences","français","lundi","carrière","jeanmichel","candidate","aide","population","vivre","guillaume","mobilités","christophe","niveau","travail","alinéa","ligne","agriculture","voulons","lundi"
"26","lon","gens","contre","protection","estce","dici","people","signatures","létat","américaine","jeunes","comité","france","violence","sociaux","supérieur","vote","employeurs","médecins","demandeurs","municipal","métropole","valdoise","croissance","insoumise","protection","google","marché","laïcité","mardi"
"27","insoumise","alors","mère","concurrence","question","plus","french","samélioretil","milliard","merkel","luniversité","propositions","autorités","sest","jeanpaul","nationale","premier","entreprise","avril","tous","david","travaux","frédérique","millions","réforme","conditions","daudience","européenne","aujourdhui","annoncé"
"28","france","puis","toutes","doit","car","climatiques","when","contributeurs","dépenses","europe","centre","linnovation","chef","vendredi","départ","handicapées","législatives","difficultés","risque","devons","stéphane","usagers","lisère","lannée","marche","juge","mesurer","tonnes","faut","matignon"
"29","tribune","dire","ans","macron","être","dénergie","data","dépenses","comptes","etats","musique","actions","lonu","victimes","travail","professeurs","paris","urgences","décès","répondre","eric","mairie","guillaume","chômeurs","gauche","mme","paramétrer","filière","citoyens","jeudi"
"30","gauche","beaucoup","victime","souveraineté","plus","pêche","said","fiable","emplois","allemand","grand","développer","internationale","après","loi","délèves","électeurs","activité","maladie","transition","patrick","deuros","nicole","sondage","lopposition","létat","opposer","animale","ensemble","lancien"
"31","médias","livre","gpa","paix","sujet","pollution","any","renom","actionnaires","américains","quartier","publics","contre","justice","salariés","langue","socialiste","ehpad","médicaments","propositions","ancien","véhicules","var","pôle","voté","titre","plateformes","alimentation","économique","auprès"
"32","crise","années","violence","liste","rien","durable","voyageurs","éclairer","plan","berlin","musée","place","daech","plusieurs","partenaires","collège","rassemblement","bénéficier","propagation","aussi","udi","parisiens","valdemarne","france","adopté","personnes","utiliser","qualité","commun","député"
"33","mélenchon","plus","discriminations","monde","pourquoi","laccord","your","analyses","taxe","britannique","coupe","sein","migrants","faits","fonctionnaires","leducation","voix","sociales","réanimation","rétention","laurence","kmh","seinemaritime","résultats","groupes","délai","produits","canada","président","édouard"
"34","faut","quelques","couple","face","peu","solidaire","been","meilleures","bercy","parlement","dimanche","service","civils","dimanche","sociale","français","wauquiez","médecine","situation","élus","socialiste","locaux","jeanfrançois","atteint","débats","tribunal","utilisons","plastiques","confiance","hollande"
"35","fait","mère","familles","cest","problème","lurgence","new","réflexions","crédits","allemande","maison","lensemble","sécurité","heures","salaires","lenfance","république","durgence","gouvernement","république","fabien","train","maineetloire","demandeurs","modem","peut","légitime","chasse","construire","politique"
"36","république","lhistoire","filles","traités","chose","rénovation","time","apporte","pme","russie","ème","publiques","barkhane","judiciaire","pénibilité","école","mouvement","service","jours","questions","laurent","ferroviaire","didier","chez","lois","mesures","cnil","animal","nationale","vendredi"
"37","violence","fille","société","sécurité","veux","déchets","travel","clés","bruno","litalie","université","secteur","opérations","lenquête","salaire","bac","second","mois","face","faut","seinesaintdenis","vitesse","michel","données","république","pénale","lapplication","leau","lutte","lors"
"38","discours","petite","sexe","brexit","exemple","environnementale","who","prix","groupe","brésil","professeur","gestion","armes","castaner","fonction","luniversité","circonscription","cas","production","nation","julien","ligne","loire","progression","sénateurs","lobjet","utilisateurs","industriels","liberté","lélysée"
"39","liberté","enfants","associations","nathalie","aussi","abonnés","territory","taxes","financiers","chinois","notredame","publique","zone","feu","hautcommissaire","dispositif","député","professionnelle","jour","pense","françois","ruraux","thomas","catégorie","ministre","avis","utilisé","linterdiction","nation","dit"
"40","question","sest","mariage","aussi","aujourdhui","véhicules","member","prépare","capital","déclaré","festival","rôle","opération","enquête","revenu","lapprentissage","national","paiement","période","chacun","jeanluc","parc","sophie","fin","mardi","publique","acceptez","substances","travail","ministère"
"41","propos","petit","filiation","traité","trop","mer","provenance","anticiper","fiscal","étrangers","vendredi","public","depuis","policier","âge","lycées","front","jours","durgence","écologique","insoumise","routes","morbihan","année","lexamen","personne","peuvent","cannabis","publics","maire"
"42","quils","encore","procréation","puissances","quils","nicolas","but","rédaction","entreprise","lire","rendezvous","services","nations","gendarmes","pivot","jeunesse","candidature","conditions","chine","maires","jeanpierre","département","mireille","létude","rapporteur","juridique","cliquant","espèces","solidarité","laffaire"
"43","démocratique","parce","père","marché","besoin","fossiles","which","réel","financer","suisse","tour","outils","chrétiens","victime","social","sociale","scrutin","situation","traitement","immigration","christian","trafic","stéphanie","deux","assemblée","sécurité","précises","vente","laction","propos"
"44","article","fils","famille","commune","quoi","effet","mayotte","marchés","fiscales","affaires","vidéo","également","mission","pompiers","quil","ministre","élu","mars","scientifique","solidarité","marc","trains","signataires","après","propositions","dun","lintérêt","distribution","modèle","après"
"45","président","fois","parité","protège","vrai","article","these","crise","frais","internationale","saison","plan","lîle","jeudi","plus","parcours","mélenchon","durée","personnels","collectivités","claude","projets","anne","étude","denquête","lois","lutilisation","sanitaire","moyens","cabinet"
"46","dune","chez","conjoint","règles","travailler","lire","use","rebondir","fiscaux","entre","mairie","dune","parly","mardi","compte","enfant","juppé","demande","chez","citoyenneté","circonscription","service","damien","reste","républicains","nationale","sociaux","éleveurs","contre","ajouté"
"47","donc","après","parent","commission","avoir","convention","his","lactualité","taux","italie","jeu","dinformation","française","devant","partir","universités","majorité","médecin","morts","toujours","éric","départements","gard","chiffre","circonscription","contre","stockées","lait","sens","nicolas"
"48","campagne","tête","lutte","etats","temps","énergie","information","climat","limpôt","atil","bordeaux","missions","force","nuit","mois","plus","européennes","hôpitaux","pays","européen","départemental","capitale","cécile","forte","président","sanctions","statistiques","monsanto","besoin","lexécutif"
"49","droit","tard","lgbt","institutions","moment","rapport","international","lisf","tourisme","sest","clubs","permettre","deux","blessés","selon","primaire","dimanche","lemployeur","dépistage","trop","sébastien","voiture","catherine","tendance","députée","être","lien","cultures","majorité","sest"
"50","plus","avoir","mères","budget","aller","scientifiques","déplacement","compter","vente","française","journée","durable","nord","préfet","spéciaux","lycéens","demmanuel","patients","protéger","sujet","députés","gare","pascale","jeunes","lexécutif","public","bouton","lutilisation","parce","campagne"
